Actor,Followers,Is_In_IMDB,Score
Evanna Lynch,4043842,0,
Bonnie Wright,3984624,0,
Oliver Phelps,2493327,0,
James Phelps,2662362,0,
Mark Williams,88458,0,
Warwick Davis,128277,0,
Natalia Tena,152335,0,
Katie Leung,367578,0,
Dave Legeno,,0, 
Geraldine Somerville,1495,0,
Helen McCrory,13310,0,
Freddie Stroma,32560,0,
David Bradley,1062,0,
Frank Dillane,10657,0,
Hero Fiennes-Tiffin,7611497,0,
Gemma Jones,22916,0,
Afshan Azad,176704,0,
Shefali Chowdhury,810,0,
Georgina Leonidas,5745,0,
Devon Murray,173353,0,
Anna Shaffer,160786,0,
Josh Herdman,136615,0,
Jamie Waylett,1029,0,
Scarlett Byrne,12026,0,
Jessie Cave,,0,
Louis Cordice,40553,0,
Alfie Enoch,371375,0,
Robert Knox,24659,0,
William Melling,1033,0,
Paul Ritter,6305,0,
Isabella Laughland,,0,
Ralph Ineson,8883,0,
Suzanne Toase,410,0,
Rod Hunt,4152,0,
Elarica Gallacher,430350,0,
Ben Affleck,24752,0,
Henry Cavill,26776321,0,
Gal Gadot,109557155,0,
Amy Adams,940520,0,
Jesse Eisenberg,12612,0,
Diane Lane,516,0,
Jeremy Irons,18417,0,
Laurence Fishburne,17661,0,
Holly Hunter,562,0,
Scoot McNairy,1119,0,
Callan Mulvey,2035,0,
Tao Okamoto,151608,0,
Jena Malone,367865,0,
Brandon Spink,23709,0,
Lauren Cohan,4666256,0,
Hugh Maguire,340,0,
Michael Cassidy,2055,0,
Alan D. Purwin, ,0,
Dan Amboyer,97353,0,
Rebecca Buller,5576,0,
Harry Lennix,191575,0,
Christina Wren,16537,0,
Jade Chynoweth,2014144,0,
Chad Krowchuk,,0,
Kevin Costner,1158725,0,
Ezra Miller,37967,0,
Patrick Wilson,528586,0,
Michael Shannon,11116,0,
Charlie Rose,127569,0,
Vikram Gandhi,5316,0,
Andrew Sullivan,2862,0,
Neil deGrasse Tyson,2006574,0,
Jon Stewart,481778,0,
Soledad O'Brien,533656,0,
Erika R. Erickson,10193,0,
Dana Bash,133575,0,
Nancy Grace,176708,0,
Anderson Cooper,4113587,0,
Brooke Baldwin,213068,0,
Carla Gugino,830682,0,
Jason Momoa,17124575,0,
Joe Morton,92901,0,
Ray Fisher,268091,0,
Joseph Cranford,57,0,
Emily Peterson,2955,0,
Jeffrey Dean Morgan,5446934,0,
Sammi Rotibi,57472,0,
Hanna Dworkin,380,0,
Tiffany L. Addison,1133,0,
Owais Ahmed,2483,0,
Anish Jethmalani,759,0,
Tiffany Bedwell,798,0,
Natalee Arteaga,,0,
Keith D. Gallagher,574,0,
Jeff Dumas,689,0,
Miriam Lee,2289,0,
Alicia Regan,1285,0,
Stephanie Koenig,30978,0,
Ripley Sobo,10605,0,
Richard Burden,478,0,
Julius Tennon,,0,
Wunmi Mosaku,107686,0,
Dennis North,,0,
Kiff VandenHeuvel,4544,0,
Mason Heidger,1173,0,
Ahney Her,,0,
