Actor,Followers,Is_In_IMDB,Score,EstimatedIncome
Tom Felton,12094854,0,15.872393777322957,33.106537742746355
Michael Gambon,3634,0,8.416862276199543,37.14531842909972
Jim Broadbent,153902,0,11.854262434148431,35.2283784484689
Helena Bonham Carter,106995,0,10.833651972989903,36.72322927858917
Robbie Coltrane,22483,0,9.15175074760395,37.87631433666874
Maggie Smith,101312,0,11.703577816411944,35.45432071998536
Alan Rickman,109237,0,11.585639971081203,35.63184086244672
Timothy Spall,43,0,3.623557192114895,-18.75725668388688
David Thewlis,347382,0,11.820740143741006,35.278489218007024
Julie Walters,13872,0,9.37669164601945,37.907709893961425
Matthew Lewis,2516821,0,15.131547194877196,32.710655865840636
Evanna Lynch,4043842,0,14.985696170834974,32.67688432272786
Bonnie Wright,3984624,0,15.416216373221252,32.81939305462339
Oliver Phelps,2493327,0,14.544545096704995,32.66720626847669
James Phelps,2662362,0,15.191699453517543,32.72894982560004
Mark Williams,88458,0,11.179470313010013,36.236359301963546
Warwick Davis,128277,0,10.49725568997475,37.148859890587914
Natalia Tena,152335,0,11.973063202448158,35.05185333403321
Katie Leung,367578,0,12.115510185755726,34.84315112694725
Geraldine Somerville,1495,0,7.316969282999148,33.60129425745373
Helen McCrory,13310,0,9.344082256810418,37.907909636325314
Freddie Stroma,32560,0,10.819952571893069,36.74164360885891
David Bradley,1062,0,6.612889252166834,29.22763874201374
Frank Dillane,10657,0,9.679979273573752,37.835984513403844
Hero Fiennes-Tiffin,7611497,0,16.210808878887594,33.40207386677065
Gemma Jones,22916,0,9.858858167598571,37.74035430661462
Afshan Azad,176704,0,11.518430183755893,35.73294903719997
Shefali Chowdhury,810,0,6.507291342258217,28.398701281727142
Georgina Leonidas,5745,0,8.898904474565892,37.741938490750755
Devon Murray,173353,0,12.865074228169764,33.84103582847891
Anna Shaffer,160786,0,12.880582275943793,33.82262076907364
Josh Herdman,136615,0,12.00866110679733,34.999355131801536
Jamie Waylett,1029,0,6.744853282326221,30.19649653917253
Scarlett Byrne,12026,0,9.554154786473454,37.8804304636316
Louis Cordice,40553,0,10.338088716006366,37.327005983163275
Alfie Enoch,371375,0,12.42304844747848,34.40879547031267
Robert Knox,24659,0,10.158903623448024,37.505261410945195
William Melling,1033,0,6.984661697770196,31.775142826041048
Paul Ritter,6305,0,8.602161288390661,37.432088103553525
Suzanne Toase,410,0,6.3041205797473365,26.663873637225123
Rod Hunt,4152,0,8.601026130746865,37.430559326365795
Elarica Gallacher,430350,0,13.275260184448513,33.39471055658626
Ben Affleck,24752,0,9.770981721010074,37.791873126601075
Henry Cavill,26776321,0,16.342277391410402,33.53395619005511
Gal Gadot,109557155,0,19.86471992036954,37.464080176391604
Amy Adams,940520,0,13.996020073094185,32.84882914212682
Jesse Eisenberg,12612,0,8.625661581683165,37.46312477278963
Diane Lane,516,0,6.451603380962366,27.941796088179302
Jeremy Irons,18417,0,9.80264292404592,37.77429413281001
Laurence Fishburne,17661,0,9.903990394610522,37.71065564283779
Holly Hunter,562,0,5.905314113318173,22.68660327366939
Scoot McNairy,1119,0,6.340099298326419,26.984853895909907
Callan Mulvey,2035,0,7.68812370371884,35.19195837913722
Tao Okamoto,151608,0,12.18664751643352,34.74047699396044
Jena Malone,367865,0,12.56476066343221,34.21843867673189
Brandon Spink,23709,0,10.497300944677288,37.14880685938198
Lauren Cohan,4666256,0,14.439845734013758,32.68541716074233
Hugh Maguire,340,0,5.662055960973016,19.85941923379582
Michael Cassidy,2055,0,7.816426963449389,35.64152262707751
Alan D. Purwin, ,0,9.25852722192958,37.90092479957923
Dan Amboyer,97353,0,11.220628747602904,36.17619095628655
Rebecca Buller,5576,0,8.978310333498547,37.79622005310057
Harry Lennix,191575,0,12.305966000631331,34.57107283427246
Christina Wren,16537,0,9.721233732785317,37.81718796503307
Jade Chynoweth,2014144,0,12.996788263805104,33.68830158056457
Kevin Costner,1158725,0,13.5945633077627,33.11240754388325
Ezra Miller,37967,0,10.633853285614236,36.983219972214556
Patrick Wilson,528586,0,14.156290702245128,32.77390281703612
Michael Shannon,11116,0,8.635135682618396,37.475308335899484
Charlie Rose,127569,0,11.366544443500043,35.96038903173101
Vikram Gandhi,5316,0,8.567647520204485,37.384377495771815
Andrew Sullivan,2862,0,7.341442150940256,33.720196753120405
